X(mm),Y(mm)
100,0.126
99.94161,0.13419
99.76658,0.1587
99.47532,0.19938
99.0685,0.25595
98.54709,0.32804
97.91229,0.41519
97.16559,0.51685
96.30873,0.63238
95.34372,0.76108
94.2728,0.90217
93.09849,1.05485
91.82351,1.21823
90.45085,1.39143
88.98372,1.57351
87.42554,1.76353
85.77995,1.96051
84.05079,2.16347
82.24211,2.37142
80.35813,2.58337
78.40324,2.79828
76.38202,3.01515
74.29917,3.23294
72.15958,3.45058
69.96823,3.667
67.73025,3.88109
65.45085,4.09174
63.13537,4.29778
60.78921,4.49802
58.41786,4.69124
56.02683,4.87619
53.62174,5.05161
51.20819,5.2162
48.79181,5.36866
46.37826,5.50769
43.97317,5.632
41.58215,5.74033
39.21079,5.83145
36.86463,5.90419
34.54915,5.95747
32.26976,5.99028
30.03177,6.00172
27.84042,5.99102
25.70083,5.95755
23.61799,5.90081
21.59676,5.82048
19.64187,5.7164
17.75789,5.58856
15.94921,5.43715
14.22005,5.26251
12.57446,5.06513
11.01628,4.84567
9.54915,4.60489
8.17649,4.34371
6.90152,4.0631
5.7272,3.76414
4.65628,3.44792
3.69127,3.11559
2.83441,2.76827
2.08771,2.40706
1.45291,2.033
0.93149,1.64706
0.52468,1.25011
0.23342,0.84289
0.05839,0.42603
0,0
0.05839,-0.42603
0.23342,-0.84289
0.52468,-1.25011
0.93149,-1.64706
1.45291,-2.033
2.08771,-2.40706
2.83441,-2.76827
3.69127,-3.11559
4.65628,-3.44792
5.7272,-3.76414
6.90152,-4.0631
8.17649,-4.34371
9.54915,-4.60489
11.01628,-4.84567
12.57446,-5.06513
14.22005,-5.26251
15.94921,-5.43715
17.75789,-5.58856
19.64187,-5.7164
21.59676,-5.82048
23.61799,-5.90081
25.70083,-5.95755
27.84042,-5.99102
30.03177,-6.00172
32.26976,-5.99028
34.54915,-5.95747
36.86463,-5.90419
39.21079,-5.83145
41.58215,-5.74033
43.97317,-5.632
46.37826,-5.50769
48.79181,-5.36866
51.20819,-5.2162
53.62174,-5.05161
56.02683,-4.87619
58.41786,-4.69124
60.78921,-4.49802
63.13537,-4.29778
65.45085,-4.09174
67.73025,-3.88109
69.96823,-3.667
72.15958,-3.45058
74.29917,-3.23294
76.38202,-3.01515
78.40324,-2.79828
80.35813,-2.58337
82.24211,-2.37142
84.05079,-2.16347
85.77995,-1.96051
87.42554,-1.76353
88.98372,-1.57351
90.45085,-1.39143
91.82351,-1.21823
93.09849,-1.05485
94.2728,-0.90217
95.34372,-0.76108
96.30873,-0.63238
97.16559,-0.51685
97.91229,-0.41519
98.54709,-0.32804
99.0685,-0.25595
99.47532,-0.19938
99.76658,-0.1587
99.94161,-0.13419
100,-0.126
