# created 06/24/24 at 17:12
# GASP propeller map converted from general_aviation.map
# CT = f(Helical Mach at 75% Radius, Adv ratio & CP)
# mach_type = helical_mach
# No. Blades =  3. CLi = 0.62  AF = 104.0

    J, Helical_Mach,         CP,         CT
0.001,         0.7,      0.025,     0.1442
  0.5,         0.7,      0.025,     0.0368
 0.75,         0.7,      0.025,     0.0254
  1.0,         0.7,      0.025,     0.0204
  1.3,         0.7,      0.025,     0.0174
  1.6,         0.7,      0.025,     0.0129
0.001,         0.7,       0.05,     0.1595
  0.5,         0.7,       0.05,      0.071
 0.75,         0.7,       0.05,     0.0522
  1.0,         0.7,       0.05,     0.0413
  1.3,         0.7,       0.05,     0.0323
  1.6,         0.7,       0.05,     0.0259
0.001,         0.7,      0.075,     0.1762
  0.5,         0.7,      0.075,     0.1001
 0.75,         0.7,      0.075,     0.0766
  1.0,         0.7,      0.075,     0.0615
  1.3,         0.7,      0.075,     0.0491
  1.6,         0.7,      0.075,     0.0404
0.001,         0.7,        0.1,     0.1887
  0.5,         0.7,        0.1,     0.1207
 0.75,         0.7,        0.1,     0.0983
  1.0,         0.7,        0.1,     0.0806
  1.3,         0.7,        0.1,     0.0649
  1.6,         0.7,        0.1,      0.054
0.001,         0.7,      0.125,     0.1985
  0.5,         0.7,      0.125,     0.1359
 0.75,         0.7,      0.125,     0.1159
  1.0,         0.7,      0.125,     0.0983
  1.3,         0.7,      0.125,     0.0803
  1.6,         0.7,      0.125,     0.0671
0.001,         0.7,       0.15,     0.2075
  0.5,         0.7,       0.15,     0.1464
 0.75,         0.7,       0.15,     0.1298
  1.0,         0.7,       0.15,     0.1135
  1.3,         0.7,       0.15,     0.0949
  1.6,         0.7,       0.15,       0.08
0.001,         0.7,      0.175,     0.2179
  0.5,         0.7,      0.175,     0.1542
 0.75,         0.7,      0.175,     0.1404
  1.0,         0.7,      0.175,     0.1261
  1.3,         0.7,      0.175,     0.1082
  1.6,         0.7,      0.175,     0.0923
0.001,         0.7,        0.2,     0.2248
  0.5,         0.7,        0.2,     0.1603
 0.75,         0.7,        0.2,     0.1481
  1.0,         0.7,        0.2,     0.1367
  1.3,         0.7,        0.2,       0.12
  1.6,         0.7,        0.2,     0.1041
0.001,         0.7,      0.225,     0.2302
  0.5,         0.7,      0.225,     0.1647
 0.75,         0.7,      0.225,     0.1542
  1.0,         0.7,      0.225,     0.1449
  1.3,         0.7,      0.225,     0.1303
  1.6,         0.7,      0.225,     0.1149
0.001,         0.7,       0.25,     0.2346
  0.5,         0.7,       0.25,     0.1677
 0.75,         0.7,       0.25,     0.1591
  1.0,         0.7,       0.25,     0.1513
  1.3,         0.7,       0.25,     0.1392
  1.6,         0.7,       0.25,     0.1247
0.001,         0.7,      0.275,     0.2384
  0.5,         0.7,      0.275,     0.1695
 0.75,         0.7,      0.275,     0.1628
  1.0,         0.7,      0.275,     0.1563
  1.3,         0.7,      0.275,     0.1465
  1.6,         0.7,      0.275,     0.1334
0.001,         0.7,        0.3,     0.2418
  0.5,         0.7,        0.3,     0.1707
 0.75,         0.7,        0.3,     0.1653
  1.0,         0.7,        0.3,     0.1605
  1.3,         0.7,        0.3,     0.1521
  1.6,         0.7,        0.3,     0.1412
0.001,        0.75,      0.025,     0.1443
  0.5,        0.75,      0.025,     0.0347
 0.75,        0.75,      0.025,     0.0231
  1.0,        0.75,      0.025,     0.0193
  1.3,        0.75,      0.025,     0.0162
  1.6,        0.75,      0.025,     0.0113
0.001,        0.75,       0.05,     0.1609
  0.5,        0.75,       0.05,      0.068
 0.75,        0.75,       0.05,     0.0505
  1.0,        0.75,       0.05,     0.0402
  1.3,        0.75,       0.05,     0.0308
  1.6,        0.75,       0.05,     0.0243
0.001,        0.75,      0.075,     0.1784
  0.5,        0.75,      0.075,     0.0978
 0.75,        0.75,      0.075,     0.0742
  1.0,        0.75,      0.075,     0.0596
  1.3,        0.75,      0.075,      0.048
  1.6,        0.75,      0.075,     0.0392
0.001,        0.75,        0.1,     0.1907
  0.5,        0.75,        0.1,     0.1205
 0.75,        0.75,        0.1,     0.0962
  1.0,        0.75,        0.1,     0.0785
  1.3,        0.75,        0.1,     0.0631
  1.6,        0.75,        0.1,     0.0528
0.001,        0.75,      0.125,     0.2004
  0.5,        0.75,      0.125,     0.1367
 0.75,        0.75,      0.125,     0.1152
  1.0,        0.75,      0.125,     0.0964
  1.3,        0.75,      0.125,     0.0783
  1.6,        0.75,      0.125,     0.0654
0.001,        0.75,       0.15,     0.2091
  0.5,        0.75,       0.15,     0.1473
 0.75,        0.75,       0.15,     0.1302
  1.0,        0.75,       0.15,     0.1125
  1.3,        0.75,       0.15,     0.0929
  1.6,        0.75,       0.15,      0.078
0.001,        0.75,      0.175,     0.2171
  0.5,        0.75,      0.175,     0.1553
 0.75,        0.75,      0.175,     0.1412
  1.0,        0.75,      0.175,     0.1261
  1.3,        0.75,      0.175,     0.1066
  1.6,        0.75,      0.175,     0.0904
0.001,        0.75,        0.2,     0.2239
  0.5,        0.75,        0.2,     0.1618
 0.75,        0.75,        0.2,      0.149
  1.0,        0.75,        0.2,     0.1373
  1.3,        0.75,        0.2,     0.1192
  1.6,        0.75,        0.2,     0.1022
0.001,        0.75,      0.225,     0.2298
  0.5,        0.75,      0.225,     0.1664
 0.75,        0.75,      0.225,     0.1553
  1.0,        0.75,      0.225,     0.1458
  1.3,        0.75,      0.225,     0.1302
  1.6,        0.75,      0.225,     0.1134
0.001,        0.75,       0.25,     0.2351
  0.5,        0.75,       0.25,     0.1694
 0.75,        0.75,       0.25,     0.1606
  1.0,        0.75,       0.25,     0.1522
  1.3,        0.75,       0.25,     0.1397
  1.6,        0.75,       0.25,     0.1238
0.001,        0.75,      0.275,     0.2398
  0.5,        0.75,      0.275,     0.1712
 0.75,        0.75,      0.275,     0.1645
  1.0,        0.75,      0.275,     0.1574
  1.3,        0.75,      0.275,     0.1473
  1.6,        0.75,      0.275,     0.1332
0.001,        0.75,        0.3,     0.2441
  0.5,        0.75,        0.3,     0.1722
 0.75,        0.75,        0.3,     0.1669
  1.0,        0.75,        0.3,      0.162
  1.3,        0.75,        0.3,      0.153
  1.6,        0.75,        0.3,     0.1415
0.001,         0.8,      0.025,     0.1435
  0.5,         0.8,      0.025,     0.0318
 0.75,         0.8,      0.025,     0.0212
  1.0,         0.8,      0.025,     0.0184
  1.3,         0.8,      0.025,     0.0152
  1.6,         0.8,      0.025,      0.011
0.001,         0.8,       0.05,     0.1574
  0.5,         0.8,       0.05,      0.065
 0.75,         0.8,       0.05,     0.0487
  1.0,         0.8,       0.05,     0.0384
  1.3,         0.8,       0.05,      0.029
  1.6,         0.8,       0.05,     0.0227
0.001,         0.8,      0.075,     0.1758
  0.5,         0.8,      0.075,     0.0943
 0.75,         0.8,      0.075,     0.0718
  1.0,         0.8,      0.075,     0.0578
  1.3,         0.8,      0.075,     0.0466
  1.6,         0.8,      0.075,     0.0376
0.001,         0.8,        0.1,      0.189
  0.5,         0.8,        0.1,     0.1168
 0.75,         0.8,        0.1,     0.0934
  1.0,         0.8,        0.1,     0.0763
  1.3,         0.8,        0.1,     0.0614
  1.6,         0.8,        0.1,     0.0514
0.001,         0.8,      0.125,      0.199
  0.5,         0.8,      0.125,     0.1337
 0.75,         0.8,      0.125,      0.112
  1.0,         0.8,      0.125,     0.0939
  1.3,         0.8,      0.125,     0.0763
  1.6,         0.8,      0.125,     0.0637
0.001,         0.8,       0.15,     0.2076
  0.5,         0.8,       0.15,     0.1448
 0.75,         0.8,       0.15,     0.1271
  1.0,         0.8,       0.15,     0.1096
  1.3,         0.8,       0.15,     0.0907
  1.6,         0.8,       0.15,     0.0761
0.001,         0.8,      0.175,     0.2149
  0.5,         0.8,      0.175,     0.1529
 0.75,         0.8,      0.175,     0.1386
  1.0,         0.8,      0.175,     0.1231
  1.3,         0.8,      0.175,     0.1041
  1.6,         0.8,      0.175,     0.0883
0.001,         0.8,        0.2,     0.2217
  0.5,         0.8,        0.2,     0.1597
 0.75,         0.8,        0.2,     0.1467
  1.0,         0.8,        0.2,     0.1345
  1.3,         0.8,        0.2,     0.1164
  1.6,         0.8,        0.2,     0.0999
0.001,         0.8,      0.225,      0.228
  0.5,         0.8,      0.225,     0.1647
 0.75,         0.8,      0.225,     0.1531
  1.0,         0.8,      0.225,     0.1433
  1.3,         0.8,      0.225,     0.1273
  1.6,         0.8,      0.225,     0.1108
0.001,         0.8,       0.25,     0.2338
  0.5,         0.8,       0.25,     0.1679
 0.75,         0.8,       0.25,     0.1586
  1.0,         0.8,       0.25,     0.1498
  1.3,         0.8,       0.25,     0.1369
  1.6,         0.8,       0.25,      0.121
0.001,         0.8,      0.275,     0.2393
  0.5,         0.8,      0.275,     0.1699
 0.75,         0.8,      0.275,     0.1627
  1.0,         0.8,      0.275,     0.1552
  1.3,         0.8,      0.275,     0.1447
  1.6,         0.8,      0.275,     0.1302
0.001,         0.8,        0.3,     0.2443
  0.5,         0.8,        0.3,      0.171
 0.75,         0.8,        0.3,     0.1655
  1.0,         0.8,        0.3,     0.1599
  1.3,         0.8,        0.3,     0.1505
  1.6,         0.8,        0.3,     0.1385
0.001,        0.85,      0.025,     0.1234
  0.5,        0.85,      0.025,     0.0282
 0.75,        0.85,      0.025,     0.0199
  1.0,        0.85,      0.025,     0.0176
  1.3,        0.85,      0.025,     0.0145
  1.6,        0.85,      0.025,     0.0108
0.001,        0.85,       0.05,     0.1487
  0.5,        0.85,       0.05,     0.0621
 0.75,        0.85,       0.05,     0.0464
  1.0,        0.85,       0.05,     0.0361
  1.3,        0.85,       0.05,     0.0272
  1.6,        0.85,       0.05,     0.0217
0.001,        0.85,      0.075,     0.1677
  0.5,        0.85,      0.075,     0.0902
 0.75,        0.85,      0.075,     0.0694
  1.0,        0.85,      0.075,     0.0558
  1.3,        0.85,      0.075,     0.0447
  1.6,        0.85,      0.075,     0.0356
0.001,        0.85,        0.1,     0.1827
  0.5,        0.85,        0.1,     0.1107
 0.75,        0.85,        0.1,     0.0901
  1.0,        0.85,        0.1,     0.0741
  1.3,        0.85,        0.1,     0.0596
  1.6,        0.85,        0.1,     0.0495
0.001,        0.85,      0.125,     0.1939
  0.5,        0.85,      0.125,     0.1269
 0.75,        0.85,      0.125,     0.1071
  1.0,        0.85,      0.125,      0.091
  1.3,        0.85,      0.125,     0.0743
  1.6,        0.85,      0.125,     0.0619
0.001,        0.85,       0.15,     0.2031
  0.5,        0.85,       0.15,     0.1389
 0.75,        0.85,       0.15,     0.1209
  1.0,        0.85,       0.15,     0.1055
  1.3,        0.85,       0.15,     0.0883
  1.6,        0.85,       0.15,     0.0741
0.001,        0.85,      0.175,     0.2112
  0.5,        0.85,      0.175,     0.1472
 0.75,        0.85,      0.175,     0.1325
  1.0,        0.85,      0.175,     0.1178
  1.3,        0.85,      0.175,     0.1009
  1.6,        0.85,      0.175,     0.0861
0.001,        0.85,        0.2,     0.2183
  0.5,        0.85,        0.2,     0.1539
 0.75,        0.85,        0.2,     0.1411
  1.0,        0.85,        0.2,     0.1285
  1.3,        0.85,        0.2,     0.1121
  1.6,        0.85,        0.2,     0.0972
0.001,        0.85,      0.225,     0.2248
  0.5,        0.85,      0.225,     0.1594
 0.75,        0.85,      0.225,     0.1476
  1.0,        0.85,      0.225,     0.1375
  1.3,        0.85,      0.225,      0.122
  1.6,        0.85,      0.225,     0.1074
0.001,        0.85,       0.25,     0.2307
  0.5,        0.85,       0.25,     0.1632
 0.75,        0.85,       0.25,      0.153
  1.0,        0.85,       0.25,     0.1442
  1.3,        0.85,       0.25,      0.131
  1.6,        0.85,       0.25,     0.1166
0.001,        0.85,      0.275,     0.2361
  0.5,        0.85,      0.275,     0.1656
 0.75,        0.85,      0.275,     0.1574
  1.0,        0.85,      0.275,     0.1496
  1.3,        0.85,      0.275,     0.1386
  1.6,        0.85,      0.275,      0.125
0.001,        0.85,        0.3,     0.2411
  0.5,        0.85,        0.3,     0.1671
 0.75,        0.85,        0.3,     0.1606
  1.0,        0.85,        0.3,     0.1542
  1.3,        0.85,        0.3,     0.1447
  1.6,        0.85,        0.3,     0.1325
0.001,         0.9,      0.025,     0.1034
  0.5,         0.9,      0.025,     0.0251
 0.75,         0.9,      0.025,     0.0192
  1.0,         0.9,      0.025,     0.0171
  1.3,         0.9,      0.025,     0.0141
  1.6,         0.9,      0.025,     0.0108
0.001,         0.9,       0.05,     0.1341
  0.5,         0.9,       0.05,     0.0593
 0.75,         0.9,       0.05,     0.0436
  1.0,         0.9,       0.05,     0.0336
  1.3,         0.9,       0.05,     0.0254
  1.6,         0.9,       0.05,     0.0209
0.001,         0.9,      0.075,     0.1556
  0.5,         0.9,      0.075,     0.0862
 0.75,         0.9,      0.075,     0.0671
  1.0,         0.9,      0.075,     0.0536
  1.3,         0.9,      0.075,     0.0422
  1.6,         0.9,      0.075,     0.0335
0.001,         0.9,        0.1,     0.1714
  0.5,         0.9,        0.1,     0.1042
 0.75,         0.9,        0.1,     0.0868
  1.0,         0.9,        0.1,      0.072
  1.3,         0.9,        0.1,     0.0576
  1.6,         0.9,        0.1,     0.0472
0.001,         0.9,      0.125,     0.1842
  0.5,         0.9,      0.125,     0.1177
 0.75,         0.9,      0.125,      0.102
  1.0,         0.9,      0.125,      0.088
  1.3,         0.9,      0.125,     0.0724
  1.6,         0.9,      0.125,     0.0599
0.001,         0.9,       0.15,     0.1947
  0.5,         0.9,       0.15,     0.1296
 0.75,         0.9,       0.15,     0.1135
  1.0,         0.9,       0.15,     0.1011
  1.3,         0.9,       0.15,     0.0858
  1.6,         0.9,       0.15,     0.0723
0.001,         0.9,      0.175,     0.2038
  0.5,         0.9,      0.175,     0.1385
 0.75,         0.9,      0.175,     0.1238
  1.0,         0.9,      0.175,     0.1114
  1.3,         0.9,      0.175,     0.0974
  1.6,         0.9,      0.175,     0.0839
0.001,         0.9,        0.2,     0.2127
  0.5,         0.9,        0.2,     0.1453
 0.75,         0.9,        0.2,     0.1325
  1.0,         0.9,        0.2,     0.1204
  1.3,         0.9,        0.2,     0.1073
  1.6,         0.9,        0.2,     0.0943
0.001,         0.9,      0.225,     0.2202
  0.5,         0.9,      0.225,     0.1507
 0.75,         0.9,      0.225,     0.1392
  1.0,         0.9,      0.225,     0.1288
  1.3,         0.9,      0.225,     0.1155
  1.6,         0.9,      0.225,     0.1036
0.001,         0.9,       0.25,     0.2263
  0.5,         0.9,       0.25,     0.1548
 0.75,         0.9,       0.25,     0.1445
  1.0,         0.9,       0.25,     0.1357
  1.3,         0.9,       0.25,     0.1229
  1.6,         0.9,       0.25,     0.1117
0.001,         0.9,      0.275,     0.2315
  0.5,         0.9,      0.275,     0.1578
 0.75,         0.9,      0.275,     0.1488
  1.0,         0.9,      0.275,     0.1411
  1.3,         0.9,      0.275,     0.1299
  1.6,         0.9,      0.275,     0.1184
0.001,         0.9,        0.3,      0.236
  0.5,         0.9,        0.3,     0.1598
 0.75,         0.9,        0.3,     0.1522
  1.0,         0.9,        0.3,     0.1455
  1.3,         0.9,        0.3,     0.1358
  1.6,         0.9,        0.3,     0.1246
0.001,        0.95,      0.025,     0.1014
  0.5,        0.95,      0.025,     0.0237
 0.75,        0.95,      0.025,     0.0187
  1.0,        0.95,      0.025,     0.0167
  1.3,        0.95,      0.025,     0.0139
  1.6,        0.95,      0.025,     0.0108
0.001,        0.95,       0.05,     0.1185
  0.5,        0.95,       0.05,     0.0563
 0.75,        0.95,       0.05,     0.0399
  1.0,        0.95,       0.05,      0.031
  1.3,        0.95,       0.05,     0.0238
  1.6,        0.95,       0.05,     0.0203
0.001,        0.95,      0.075,     0.1396
  0.5,        0.95,      0.075,     0.0826
 0.75,        0.95,      0.075,     0.0649
  1.0,        0.95,      0.075,      0.051
  1.3,        0.95,      0.075,     0.0391
  1.6,        0.95,      0.075,     0.0313
0.001,        0.95,        0.1,     0.1566
  0.5,        0.95,        0.1,     0.0987
 0.75,        0.95,        0.1,     0.0836
  1.0,        0.95,        0.1,     0.0699
  1.3,        0.95,        0.1,     0.0553
  1.6,        0.95,        0.1,     0.0442
0.001,        0.95,      0.125,       0.17
  0.5,        0.95,      0.125,     0.1093
 0.75,        0.95,      0.125,     0.0971
  1.0,        0.95,      0.125,     0.0851
  1.3,        0.95,      0.125,     0.0705
  1.6,        0.95,      0.125,     0.0577
0.001,        0.95,       0.15,     0.1812
  0.5,        0.95,       0.15,     0.1187
 0.75,        0.95,       0.15,     0.1064
  1.0,        0.95,       0.15,     0.0967
  1.3,        0.95,       0.15,     0.0834
  1.6,        0.95,       0.15,     0.0704
0.001,        0.95,      0.175,     0.1914
  0.5,        0.95,      0.175,     0.1273
 0.75,        0.95,      0.175,     0.1143
