# created 04/22/25
# FLOPS-derived engine deck converted from turbofan_22k.txt

Mach Number, Altitude (ft),   Throttle, Gross Thrust (lbf), Ram Drag (lbf), Fuel Flow (lb/h), NOx Rate (lb/h)
        0.0,           0.0,       21.0,             1110.0,            0.0,            500.3,          55.372
        0.0,           0.0,       26.0,             4440.1,            0.0,            964.9,          23.442
        0.0,           0.0,       29.0,             6660.2,            0.0,           1368.2,          21.499
        0.0,           0.0,       32.0,             8880.2,            0.0,           1790.8,          20.979
        0.0,           0.0,       35.0,            11100.2,            0.0,           2255.1,          20.252
        0.0,           0.0,       38.0,            13320.3,            0.0,           2756.1,           19.67
        0.0,           0.0,       41.0,            15540.4,            0.0,           3300.0,          19.097
        0.0,           0.0,       44.0,            17760.5,            0.0,           3879.8,          18.493
        0.0,           0.0,       47.0,            19980.5,            0.0,           4500.3,          17.955
        0.0,           0.0,       50.0,            22200.5,            0.0,           5157.3,          17.737
        0.0,        2000.0,       21.0,             1061.5,            0.0,            472.8,          54.005
        0.0,        2000.0,       26.0,             4246.0,            0.0,            917.9,          23.255
        0.0,        2000.0,       29.0,             6369.0,            0.0,           1302.4,          21.423
        0.0,        2000.0,       32.0,             8492.0,            0.0,           1706.2,          20.883
        0.0,        2000.0,       35.0,            10615.1,            0.0,           2149.0,          20.188
        0.0,        2000.0,       38.0,            12738.0,            0.0,           2632.7,          19.552
        0.0,        2000.0,       41.0,            14861.1,            0.0,           3149.6,          19.014
        0.0,        2000.0,       44.0,            16984.1,            0.0,           3709.7,          18.353
        0.0,        2000.0,       47.0,            19107.0,            0.0,           4307.7,          17.846
        0.0,        2000.0,       50.0,            21230.1,            0.0,           4936.7,          17.715
        0.0,        5000.0,       21.0,              989.3,            0.0,            434.8,          52.114
        0.0,        5000.0,       26.0,             3957.4,            0.0,            850.3,            23.0
        0.0,        5000.0,       29.0,             5936.0,            0.0,           1206.2,          21.325
        0.0,        5000.0,       32.0,             7914.8,            0.0,           1582.5,          20.728
        0.0,        5000.0,       35.0,             9893.3,            0.0,           1991.9,          20.105
        0.0,        5000.0,       38.0,            11872.1,            0.0,           2448.9,          19.392
        0.0,        5000.0,       41.0,            13850.8,            0.0,           2930.5,          18.847
        0.0,        5000.0,       44.0,            15829.6,            0.0,           3456.4,          18.164
        0.0,        5000.0,       47.0,            17808.1,            0.0,           4018.3,          17.761
        0.0,        5000.0,       50.0,            19786.8,            0.0,           4611.8,          17.637
        0.0,       10000.0,       21.0,              870.1,            0.0,            379.9,          49.426
        0.0,       10000.0,       26.0,             3480.2,            0.0,            743.0,           22.65
        0.0,       10000.0,       29.0,             5220.4,            0.0,           1051.6,          21.202
        0.0,       10000.0,       32.0,             6960.4,            0.0,           1381.9,           20.52
        0.0,       10000.0,       35.0,             8700.6,            0.0,           1739.4,          19.918
        0.0,       10000.0,       38.0,            10440.6,            0.0,           2143.9,          19.175
        0.0,       10000.0,       41.0,            12180.8,            0.0,           2575.1,          18.509
        0.0,       10000.0,       44.0,            13921.0,            0.0,           3039.5,          17.905
        0.0,       10000.0,       47.0,            15661.0,            0.0,           3533.4,          17.718
        0.0,       10000.0,       50.0,            17401.2,            0.0,           4085.5,          17.377
        0.1,           0.0,       21.0,             2380.8,         1399.0,            576.5,          28.966
        0.1,           0.0,       26.0,             5771.8,         1844.5,           1138.1,          21.215
        0.1,           0.0,       29.0,             8024.0,         2133.0,           1561.0,          20.506
        0.1,           0.0,       32.0,            10237.7,         2383.1,           2000.9,          20.126
        0.1,           0.0,       35.0,            12412.3,         2594.1,           2464.7,          19.731
        0.1,           0.0,       38.0,            14543.0,         2761.2,           2972.4,          19.161
        0.1,           0.0,       41.0,            16665.2,         2919.7,           3496.0,          18.761
        0.1,           0.0,       44.0,            18751.0,         3041.7,           4059.2,          18.179
        0.1,           0.0,       47.0,            20834.5,         3161.7,           4653.7,           17.75
        0.1,           0.0,       50.0,            22936.3,         3299.9,           5279.7,          17.625
        0.1,        2000.0,       21.0,             2245.8,         1304.8,            544.9,          28.744
        0.1,        2000.0,       26.0,             5496.1,         1731.9,           1080.8,          21.137
        0.1,        2000.0,       29.0,             7653.6,         2007.4,           1483.6,          20.484
        0.1,        2000.0,       32.0,             9768.7,         2240.4,           1904.6,          20.058
        0.1,        2000.0,       35.0,            11852.0,         2441.7,           2346.1,          19.696
        0.1,        2000.0,       38.0,            13887.4,         2594.9,           2836.1,          19.072
