# created 04/22/25
# GASP-derived engine deck converted from turbofan_23k_1.eng
# t4max: 3342.0
# t4cruise: 3108.0
# t4climb: 3196.0
# sls_airflow: 994.36
# sfn_idle: 1.25

Mach Number, Altitude (ft),   Throttle, Thrust (lbf), Fuel Flow (lb/h),  T4 (degR)
        0.0,           0.0,        0.0,     621.4719,          621.472,        0.0
        0.0,           0.0,     0.4656,    -1979.162,         -105.249,    1556.01
        0.0,           0.0,     0.5432,     1065.323,          539.553,    1815.34
        0.0,           0.0,     0.6208,     4109.809,          1184.35,    2074.68
        0.0,           0.0,     0.6984,     7327.181,          1870.66,    2334.02
        0.0,           0.0,      0.776,     11036.92,          2800.21,    2593.35
        0.0,           0.0,     0.8536,     15708.88,          4095.82,    2852.68
        0.0,           0.0,     0.9312,     21836.46,          5870.27,    3112.02
        0.0,        3000.0,        0.0,     562.8327,          562.833,        0.0
        0.0,        3000.0,      0.456,    -2285.519,         -183.506,    1523.92
        0.0,        3000.0,      0.532,     456.4109,          412.261,    1777.91
        0.0,        3000.0,      0.608,     3198.341,          1008.03,    2031.89
        0.0,        3000.0,      0.684,     5972.483,          1620.99,    2285.88
        0.0,        3000.0,       0.76,     9207.826,          2437.99,    2539.87
        0.0,        3000.0,      0.836,      13217.8,          3553.47,    2793.85
        0.0,        3000.0,      0.912,     18617.68,          5114.42,    3047.84
        0.0,        3000.0,      0.988,     25284.21,          7083.13,    3301.83
        0.0,        6000.0,        0.0,     508.6672,          508.667,        0.0
        0.0,        6000.0,     0.4464,    -2935.834,          -280.32,    1491.84
        0.0,        6000.0,     0.5208,    -197.4633,          275.139,    1740.48
        0.0,        6000.0,     0.5952,     2540.908,          830.597,    1989.12
        0.0,        6000.0,     0.6696,     5279.279,          1386.06,    2237.76
        0.0,        6000.0,      0.744,     8213.525,           2090.9,     2486.4
        0.0,        6000.0,     0.8184,     11851.38,          3062.07,    2735.04
        0.0,        6000.0,     0.8928,     16560.29,          4378.63,    2983.67
