# created 04/22/25
# GASP-derived engine deck converted from turbofan_24k_1.eng
# t4max: 3100.0
# t4cruise: 2770.0
# t4climb: 3030.0
# sls_airflow: 794.67
# sfn_idle: -10.0

Mach Number, Altitude (ft),   Throttle, Thrust (lbf), Fuel Flow (lb/h),  T4 (degR)
        0.0,           0.0,     0.1635,      119.332,          721.477,    1556.01
        0.2,           0.0,     0.1703,      14.3682,          743.087,    1568.46
       0.35,           0.0,     0.1842,     -95.7382,          813.656,    1594.13
        0.0,           0.0,     0.4445,     5986.566,           2297.7,    2074.68
        0.2,           0.0,     0.4535,     4426.987,          2382.66,    2091.28
       0.35,           0.0,     0.4721,     4101.651,          2636.71,    2125.51
        0.0,           0.0,     0.7255,     14508.13,          5221.82,    2593.35
        0.2,           0.0,     0.7368,      11986.3,          5504.79,     2614.1
       0.35,           0.0,     0.7599,     11371.35,          6035.54,    2656.89
        0.0,           0.0,      0.866,     20704.66,          7578.19,    2852.68
        0.2,           0.0,     0.8784,     17494.34,          7922.15,    2875.51
       0.35,           0.0,     0.9039,     16450.91,          8616.74,    2922.58
        0.0,        5000.0,     0.1346,    -283.8691,          483.933,    1502.52
        0.2,        5000.0,     0.1411,      -337.63,          486.006,    1514.54
       0.35,        5000.0,     0.1545,    -460.2864,          533.324,    1539.33
        0.4,        5000.0,     0.1606,     -633.109,          492.154,     1550.6
        0.0,        5000.0,     0.4059,     4645.601,          1810.41,    2003.36
        0.2,        5000.0,     0.4146,     3457.767,          1896.61,    2019.38
       0.35,        5000.0,     0.4325,     3183.522,          2084.19,    2052.44
        0.4,        5000.0,     0.4406,     3191.026,          2195.39,    2067.46
        0.0,        5000.0,     0.6772,     11501.64,           4088.9,     2504.2
        0.2,        5000.0,     0.6881,     9535.886,          4341.24,    2524.23
       0.35,        5000.0,     0.7105,     9117.894,          4799.56,    2565.55
        0.4,        5000.0,     0.7206,     9141.541,          5010.49,    2584.33
        0.0,        5000.0,     0.8129,      16675.2,          6008.35,    2754.61
        0.2,        5000.0,     0.8248,     14081.46,          6303.14,    2776.65
       0.35,        5000.0,     0.8494,     13356.37,          6889.18,     2822.1
        0.4,        5000.0,     0.8606,     13355.59,          7170.43,    2842.76
        0.0,        5000.0,     0.9486,     22470.09,          8456.29,    3005.03
        0.2,        5000.0,     0.9616,     19249.47,          8807.35,    3029.07
       0.35,        5000.0,     0.9884,      18039.3,          9468.23,    3078.66
        0.2,       10000.0,     0.1119,    -822.5745,          215.055,    1460.62
       0.35,       10000.0,     0.1248,     -901.472,          242.334,    1484.53
        0.4,       10000.0,     0.1307,    -905.2738,          264.281,    1495.39
        0.5,       10000.0,     0.1448,     -999.016,           295.96,    1521.48
        0.2,       10000.0,     0.3756,      2609.62,          1489.96,    1947.49
       0.35,       10000.0,     0.3929,     2421.376,           1644.7,    1979.37
        0.4,       10000.0,     0.4007,     2389.483,          1714.19,    1993.86
        0.5,       10000.0,     0.4196,      2366.19,          1880.47,    2028.63
        0.2,       10000.0,     0.6394,      7380.86,          3369.47,    2434.36
       0.35,       10000.0,      0.661,     7050.941,          3714.57,    2474.21
        0.4,       10000.0,     0.6708,     7070.985,           3873.8,    2492.32
        0.5,       10000.0,     0.6943,      7255.23,          4292.97,    2535.79
        0.2,       10000.0,     0.7713,     10938.29,          4854.72,     2677.8
       0.35,       10000.0,      0.795,     10456.38,          5342.26,    2721.63
        0.4,       10000.0,     0.8058,     10500.52,          5588.38,    2741.55
        0.5,       10000.0,     0.8317,     10706.16,          6161.32,    2789.37
        0.2,       10000.0,     0.9032,     15233.12,          6841.98,    2921.23
       0.35,       10000.0,     0.9291,     14328.62,          7440.02,    2969.05
        0.4,       10000.0,     0.9408,     14275.58,          7734.59,    2990.79
        0.5,       10000.0,     0.9691,      14450.2,          8450.32,    3042.95
       0.35,       15000.0,    0.09512,    -1098.672,          78.2106,    1429.72
        0.4,       15000.0,     0.1008,     -1100.22,          89.7779,    1440.19
        0.5,       15000.0,     0.1144,    -1181.386,          101.745,    1465.31
        0.6,       15000.0,      0.131,    -1205.296,          142.077,    1496.01
        0.7,       15000.0,     0.1507,    -1225.874,          196.291,     1532.3
       0.35,       15000.0,     0.3533,     1717.688,          1241.42,     1906.3
        0.4,       15000.0,     0.3609,     1702.991,          1297.32,    1920.25
        0.5,       15000.0,      0.379,     1693.102,          1430.43,    1953.75
        0.6,       15000.0,     0.4012,     1755.838,          1608.94,    1994.68
        0.7,       15000.0,     0.4274,     1869.824,          1831.44,    2043.06
       0.35,       15000.0,     0.6115,     5423.801,          2846.33,    2382.87
        0.4,       15000.0,     0.6209,     5452.809,          2978.82,    2400.32
        0.5,       15000.0,     0.6436,     5590.974,          3300.17,    2442.18
        0.6,       15000.0,     0.6713,     5780.798,          3683.47,    2493.35
        0.7,       15000.0,     0.7041,     6126.108,          4189.83,    2553.83
       0.35,       15000.0,     0.7406,      8155.56,          4126.18,    2621.16
        0.4,       15000.0,      0.751,     8198.816,          4310.97,    2640.35
        0.5,       15000.0,     0.7759,     8349.123,          4735.96,     2686.4
        0.6,       15000.0,     0.8064,     8647.966,           5296.4,    2742.69
        0.7,       15000.0,     0.8425,     9090.652,          5980.95,    2809.21
       0.35,       15000.0,     0.8697,     11302.95,          5732.93,    2859.45
        0.4,       15000.0,      0.881,     11277.78,          5955.89,    2880.38
        0.5,       15000.0,     0.9082,     11415.64,          6538.39,    2930.62
        0.6,       15000.0,     0.9415,     11752.59,           7287.6,    2992.02
        0.7,       15000.0,     0.9808,     12278.04,          8162.44,    3064.59
       0.35,       15000.0,     0.9988,      14194.8,          7561.24,    3097.74
        0.4,       20000.0,    0.07088,    -1282.788,         -58.1917,    1384.99
        0.5,       20000.0,    0.08397,    -1291.402,         -35.9897,    1409.14
        0.6,       20000.0,    0.09997,    -1314.794,         -13.7096,    1438.67
        0.7,       20000.0,     0.1189,    -1317.359,          30.5004,    1473.56
       0.75,       20000.0,     0.1294,    -1303.031,          62.9165,    1493.02
        0.8,       20000.0,     0.1407,      -1300.5,           95.539,    1513.82
       0.85,       20000.0,     0.1527,    -1314.866,          130.448,    1535.97
        0.4,       20000.0,      0.321,    -1314.866,          130.448,    1846.65
        0.5,       20000.0,     0.3384,     1127.843,          1057.41,    1878.86
        0.6,       20000.0,     0.3598,      1177.52,          1194.44,    1918.22
