# created 04/22/25
# FLOPS-derived engine deck converted from turbofan_28_ENGDEK

Mach Number, Altitude (ft),   Throttle, Gross Thrust (lbf), Ram Drag (lbf), Fuel Flow (lb/h), NOx Rate (lb/h)
        0.0,           0.0,       21.0,             1446.4,            0.0,            842.2,          4.7876
        0.0,           0.0,       22.0,             2314.3,            0.0,            976.0,          5.1926
        0.0,           0.0,       24.0,             4049.9,            0.0,           1281.0,          6.6532
        0.0,           0.0,       26.0,             5785.6,            0.0,           1659.9,          8.2234
        0.0,           0.0,       30.0,             9642.7,            0.0,           2621.6,          12.095
        0.0,           0.0,       34.0,            13499.8,            0.0,           3673.3,          15.032
        0.0,           0.0,       38.0,            17356.9,            0.0,           4795.2,          17.588
        0.0,           0.0,       42.0,            21214.0,            0.0,           5979.1,          19.855
        0.0,           0.0,       46.0,            25071.1,            0.0,           7258.1,          33.398
        0.0,           0.0,       48.0,            26999.7,            0.0,           7932.6,          49.218
        0.0,           0.0,       50.0,            28928.1,            0.0,           8662.3,          61.989
        0.0,        2000.0,       21.0,             1446.4,            0.0,            781.8,          5.2521
        0.0,        2000.0,       22.0,             2314.2,            0.0,            914.2,          5.1431
        0.0,        2000.0,       24.0,             4049.9,            0.0,           1220.2,          6.7284
        0.0,        2000.0,       26.0,             5785.6,            0.0,           1608.2,          8.4472
        0.0,        2000.0,       30.0,             9642.7,            0.0,           2572.5,           12.52
        0.0,        2000.0,       34.0,            13499.7,            0.0,           3624.6,          15.601
        0.0,        2000.0,       38.0,            17356.8,            0.0,           4748.2,          18.241
        0.0,        2000.0,       42.0,            21213.8,            0.0,           5953.1,          20.617
        0.0,        2000.0,       46.0,            25070.8,            0.0,           7274.3,          46.519
        0.0,        2000.0,       48.0,            26999.7,            0.0,           8005.4,            61.6
        0.0,        2000.0,       50.0,            28928.0,            0.0,           8769.0,           72.51
        0.0,        5000.0,       21.0,             1338.1,            0.0,            706.8,          6.8008
        0.0,        5000.0,       22.0,             2140.9,            0.0,            828.3,            5.03
        0.0,        5000.0,       24.0,             3746.7,            0.0,           1111.0,          6.2319
        0.0,        5000.0,       26.0,             5352.3,            0.0,           1469.9,          7.9885
        0.0,        5000.0,       30.0,             8920.6,            0.0,           2355.4,          12.028
        0.0,        5000.0,       34.0,            12488.9,            0.0,           3323.4,          15.131
        0.0,        5000.0,       38.0,            16057.1,            0.0,           4353.1,          17.774
        0.0,        5000.0,       42.0,            19625.3,            0.0,           5473.5,          20.181
        0.0,        5000.0,       46.0,            23193.5,            0.0,           6708.4,          39.131
        0.0,        5000.0,       48.0,            24977.9,            0.0,           7391.9,          57.314
        0.0,        5000.0,       50.0,            26761.8,            0.0,           8104.6,          69.258
        0.1,           0.0,       21.0,             2503.9,         1057.5,            905.8,          4.7726
        0.1,           0.0,       22.0,             3575.1,         1260.9,           1088.1,          5.7209
        0.1,           0.0,       24.0,             5626.3,         1576.4,           1525.4,          7.6905
        0.1,           0.0,       26.0,             7615.0,         1829.5,           2001.1,          9.4545
        0.1,           0.0,       30.0,            11922.9,         2280.3,           3129.8,          13.596
        0.1,           0.0,       34.0,            16145.2,         2645.4,           4326.3,          16.588
        0.1,           0.0,       38.0,            20316.5,         2959.7,           5587.6,          19.158
        0.1,           0.0,       42.0,            24452.2,         3238.4,           6932.0,           26.87
        0.1,           0.0,       46.0,            28560.1,         3489.2,           8389.7,          57.658
        0.1,           0.0,       48.0,            30603.9,         3604.5,           9194.3,          69.248
        0.1,           0.0,       50.0,            32642.3,         3714.3,          10032.8,           77.44
        0.1,        2000.0,       21.0,             2330.3,          984.5,            824.4,           4.924
        0.1,        2000.0,       22.0,             3327.1,         1173.8,            991.2,          5.5336
