# created 04/22/25
# GASP_TS-derived engine deck converted from MAPS_1120hp.eng
# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568

Mach Number, Altitude (ft),   Throttle, Shaft Power Corrected (hp), Tailpipe Thrust (lbf), Fuel Flow (lb/h)
        0.0,           0.0,       20.0,                      112.0,                  37.7,            195.8
       0.05,           0.0,       20.0,                    111.769,               28.0688,          195.181
        0.1,           0.0,       20.0,                      111.1,                  18.4,            193.3
       0.15,           0.0,       20.0,                    110.006,               8.75625,          190.219
        0.2,           0.0,       20.0,                      108.5,                  -0.8,            186.0
       0.25,           0.0,       20.0,                    106.588,              -10.2125,            180.7
        0.3,           0.0,       20.0,                      104.3,                 -19.4,            174.4
       0.35,           0.0,       20.0,                     101.65,              -28.2812,          167.138
        0.4,           0.0,       20.0,                       98.7,                 -36.8,            159.1
       0.45,           0.0,       20.0,                       95.5,              -44.8937,          150.438
        0.5,           0.0,       20.0,                       92.1,                 -52.5,            141.3
       0.55,           0.0,       20.0,                      88.55,              -59.5562,          131.838
        0.6,           0.0,       20.0,                       84.9,                 -66.0,            122.2
        0.0,           0.0,       22.0,                    179.345,                44.715,          230.177
       0.05,           0.0,       22.0,                    178.975,               34.4628,           229.45
        0.1,           0.0,       22.0,                    177.904,               24.1222,          227.282
       0.15,           0.0,       22.0,                    176.152,               13.7785,          223.756
        0.2,           0.0,       22.0,                     173.74,               3.51741,          218.956
       0.25,           0.0,       22.0,                    170.673,              -6.57889,          212.952
        0.3,           0.0,       22.0,                    167.015,              -16.4153,          205.872
       0.35,           0.0,       22.0,                    162.813,              -25.8656,          197.838
        0.4,           0.0,       22.0,                    158.131,               -34.941,          188.935
       0.45,           0.0,       22.0,                    153.028,              -43.6181,          179.258
        0.5,           0.0,       22.0,                    147.562,              -51.8737,          168.903
       0.55,           0.0,       22.0,                    141.795,              -59.6846,          157.964
        0.6,           0.0,       22.0,                    135.783,              -67.0275,          146.536
        0.0,           0.0,       24.0,                    246.472,               51.4137,          262.388
       0.05,           0.0,       24.0,                    245.964,               40.5599,          261.584
        0.1,           0.0,       24.0,                    244.492,               29.6252,          259.198
       0.15,           0.0,       24.0,                    242.085,               18.6954,          255.317
        0.2,           0.0,       24.0,                     238.77,               7.85667,          250.029
       0.25,           0.0,       24.0,                    234.555,              -2.80339,          243.401
        0.3,           0.0,       24.0,                    229.527,              -13.2038,          235.581
       0.35,           0.0,       24.0,                    223.747,              -23.2362,          226.718
        0.4,           0.0,       24.0,                    217.305,              -32.8947,          216.883
       0.45,           0.0,       24.0,                    210.289,              -42.1475,          206.165
        0.5,           0.0,       24.0,                    202.781,              -50.9631,          194.655
       0.55,           0.0,       24.0,                    194.867,                -59.31,          182.442
        0.6,           0.0,       24.0,                    186.632,              -67.1563,          169.619
        0.0,           0.0,       26.0,                    313.528,               57.8749,           293.06
       0.05,           0.0,       26.0,                     312.88,               46.4687,          292.204
        0.1,           0.0,       26.0,                    311.008,               35.0071,          289.634
       0.15,           0.0,       26.0,                    307.946,               23.5674,          285.435
        0.2,           0.0,       26.0,                     303.73,               12.2272,          279.694
       0.25,           0.0,       26.0,                     298.37,               1.06967,          272.474
        0.3,           0.0,       26.0,                    291.973,              -9.84456,          263.934
       0.35,           0.0,       26.0,                    284.603,              -20.4477,          254.219
        0.4,           0.0,       26.0,                    276.395,              -30.6778,          243.433
       0.45,           0.0,       26.0,                    267.461,              -40.4716,           231.69
        0.5,           0.0,       26.0,                    257.919,              -49.7657,          219.105
       0.55,           0.0,       26.0,                    247.883,              -58.4968,          205.791
        0.6,           0.0,       26.0,                    237.468,              -66.6014,          191.863
        0.0,           0.0,       28.0,                    380.711,               64.1604,          322.897
       0.05,           0.0,       28.0,                    379.919,               52.3018,           322.02
        0.1,           0.0,       28.0,                    377.646,               40.3761,          319.249
       0.15,           0.0,       28.0,                    373.934,               28.4601,          314.689
        0.2,           0.0,       28.0,                     368.82,                16.631,          308.446
       0.25,           0.0,       28.0,                    362.311,               4.96879,          300.601
        0.3,           0.0,       28.0,                    354.543,              -6.45888,          291.328
       0.35,           0.0,       28.0,                    345.602,               -17.591,          280.784
        0.4,           0.0,       28.0,                    335.641,              -28.3279,          269.103
       0.45,           0.0,       28.0,                    324.797,              -38.5794,          256.427
        0.5,           0.0,       28.0,                    313.206,              -48.2555,          242.896
       0.55,           0.0,       28.0,                    301.005,              -57.2661,          228.651
        0.6,           0.0,       28.0,                    288.331,              -65.5212,          213.833
        0.0,           0.0,       30.0,                      448.0,                  70.4,            352.3
       0.05,           0.0,       30.0,                    447.075,               58.1563,          351.388
        0.1,           0.0,       30.0,                      444.4,                  45.8,            348.4
       0.15,           0.0,       30.0,                    440.025,               33.4188,          343.462
        0.2,           0.0,       30.0,                      434.0,                  21.1,            336.7
       0.25,           0.0,       30.0,                    426.337,               8.93125,          328.212
        0.3,           0.0,       30.0,                      417.2,                  -3.0,            318.2
       0.35,           0.0,       30.0,                      406.7,              -14.6125,          306.844
        0.4,           0.0,       30.0,                      395.0,                 -25.8,            294.3
       0.45,           0.0,       30.0,                     382.25,              -36.4625,          280.731
        0.5,           0.0,       30.0,                      368.6,                 -46.5,            266.3
       0.55,           0.0,       30.0,                      354.2,              -55.8125,          251.169
        0.6,           0.0,       30.0,                      339.2,                 -64.3,            235.5
        0.0,           0.0,       32.0,                    515.289,               76.8117,          381.673
       0.05,           0.0,       32.0,                    514.297,               64.1718,          380.608
        0.1,           0.0,       32.0,                    511.209,               51.3642,          377.411
       0.15,           0.0,       32.0,                     506.12,                  38.5,          372.174
