# created 04/22/25
# GASP_TS-derived engine deck converted from MAPS_1120hp.eng
# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568

Mach Number, Altitude (ft),   Throttle, Shaft Power Corrected (hp), Fuel Flow (lb/h)
        0.0,           0.0,       20.0,                      112.0,            195.8
       0.05,           0.0,       20.0,                    111.769,          195.181
        0.1,           0.0,       20.0,                      111.1,            193.3
       0.15,           0.0,       20.0,                    110.006,          190.219
        0.2,           0.0,       20.0,                      108.5,            186.0
       0.25,           0.0,       20.0,                    106.588,            180.7
        0.3,           0.0,       20.0,                      104.3,            174.4
       0.35,           0.0,       20.0,                     101.65,          167.138
        0.4,           0.0,       20.0,                       98.7,            159.1
       0.45,           0.0,       20.0,                       95.5,          150.438
        0.5,           0.0,       20.0,                       92.1,            141.3
       0.55,           0.0,       20.0,                      88.55,          131.838
        0.6,           0.0,       20.0,                       84.9,            122.2
        0.0,           0.0,       22.0,                    179.345,          230.177
       0.05,           0.0,       22.0,                    178.975,           229.45
        0.1,           0.0,       22.0,                    177.904,          227.282
       0.15,           0.0,       22.0,                    176.152,          223.756
        0.2,           0.0,       22.0,                     173.74,          218.956
       0.25,           0.0,       22.0,                    170.673,          212.952
        0.3,           0.0,       22.0,                    167.015,          205.872
       0.35,           0.0,       22.0,                    162.813,          197.838
        0.4,           0.0,       22.0,                    158.131,          188.935
       0.45,           0.0,       22.0,                    153.028,          179.258
        0.5,           0.0,       22.0,                    147.562,          168.903
       0.55,           0.0,       22.0,                    141.795,          157.964
        0.6,           0.0,       22.0,                    135.783,          146.536
        0.0,           0.0,       24.0,                    246.472,          262.388
       0.05,           0.0,       24.0,                    245.964,          261.584
        0.1,           0.0,       24.0,                    244.492,          259.198
       0.15,           0.0,       24.0,                    242.085,          255.317
        0.2,           0.0,       24.0,                     238.77,          250.029
       0.25,           0.0,       24.0,                    234.555,          243.401
        0.3,           0.0,       24.0,                    229.527,          235.581
       0.35,           0.0,       24.0,                    223.747,          226.718
        0.4,           0.0,       24.0,                    217.305,          216.883
       0.45,           0.0,       24.0,                    210.289,          206.165
        0.5,           0.0,       24.0,                    202.781,          194.655
       0.55,           0.0,       24.0,                    194.867,          182.442
