#
#  Incremental Lift and Drag Coeff. for Flaps
#  Reference Area = 1370. sqft
#    DELFLP    MACH   ALPHA   DEL_CL   DEL_CD
#     (deg)     (-)   (deg)     (-)      (-)
#
    10.00    0.00   -2.00  0.44098  0.01046
    10.00    0.00    0.00  0.44098  0.01436
    10.00    0.00    2.00  0.44098  0.01829
    10.00    0.00    4.00  0.44098  0.02224
    10.00    0.00    6.00  0.44098  0.02622
    10.00    0.00    8.00  0.44098  0.03021
    10.00    0.00   10.00  0.44098  0.03423
    10.00    0.00   12.00  0.44098  0.03826
    10.00    0.00   14.00  0.44098  0.04232
    10.00    0.00   16.00  0.44098  0.04640
    10.00    0.00   18.00  0.44098  0.05051
    10.00    0.00   19.69  0.41324  0.05048
    10.00    0.10   -2.00  0.44086  0.01083
    10.00    0.10    0.00  0.44086  0.01551
    10.00    0.10    2.00  0.44086  0.02022
    10.00    0.10    4.00  0.44086  0.02495
    10.00    0.10    6.00  0.44086  0.02971
    10.00    0.10    8.00  0.44086  0.03449
    10.00    0.10   10.00  0.44086  0.03931
    10.00    0.10   12.00  0.44086  0.04414
    10.00    0.10   14.00  0.44086  0.04901
    10.00    0.10   16.00  0.44086  0.05390
    10.00    0.10   18.00  0.44086  0.05881
    10.00    0.10   19.62  0.40665  0.05764
    10.00    0.20   -2.00  0.44049  0.01076
    10.00    0.20    0.00  0.44049  0.01541
    10.00    0.20    2.00  0.44049  0.02008
    10.00    0.20    4.00  0.44049  0.02477
    10.00    0.20    6.00  0.44049  0.02949
    10.00    0.20    8.00  0.44049  0.03424
    10.00    0.20   10.00  0.44049  0.03901
    10.00    0.20   12.00  0.44049  0.04381
    10.00    0.20   14.00  0.44049  0.04864
    10.00    0.20   16.00  0.44049  0.05349
    10.00    0.20   18.00  0.44049  0.05836
    10.00    0.20   19.40  0.38648  0.05373
    10.00    0.30   -2.00  0.43986  0.01070
    10.00    0.30    0.00  0.43986  0.01537
    10.00    0.30    2.00  0.43986  0.02006
    10.00    0.30    4.00  0.43986  0.02478
    10.00    0.30    6.00  0.43986  0.02952
    10.00    0.30    8.00  0.43986  0.03429
    10.00    0.30   10.00  0.43986  0.03909
    10.00    0.30   12.00  0.43986  0.04392
    10.00    0.30   14.00  0.43986  0.04877
    10.00    0.30   16.00  0.43986  0.05365
    10.00    0.30   18.00  0.43986  0.05856
    10.00    0.30   19.04  0.35140  0.04793
    10.00    0.40   -2.00  0.43890  0.01062
    10.00    0.40    0.00  0.43890  0.01535
    10.00    0.40    2.00  0.43890  0.02011
    10.00    0.40    4.00  0.43890  0.02490
    10.00    0.40    6.00  0.43890  0.02972
    10.00    0.40    8.00  0.43890  0.03456
    10.00    0.40   10.00  0.43890  0.03943
    10.00    0.40   12.00  0.43890  0.04433
    10.00    0.40   14.00  0.43890  0.04926
    10.00    0.40   16.00  0.43890  0.05421
    10.00    0.40   18.00  0.43890  0.05919
    10.00    0.40   18.52  0.31496  0.04199
    10.00    0.50   -2.00  0.43757  0.01052
    10.00    0.50    0.00  0.43757  0.01536
    10.00    0.50    2.00  0.43757  0.02023
    10.00    0.50    4.00  0.43757  0.02514
    10.00    0.50    6.00  0.43757  0.03007
    10.00    0.50    8.00  0.43757  0.03503
    10.00    0.50   10.00  0.43757  0.04002
    10.00    0.50   12.00  0.43757  0.04504
    10.00    0.50   14.00  0.43757  0.05009
    10.00    0.50   16.00  0.43757  0.05517
    10.00    0.50   17.82  0.41979  0.05725
    10.00    0.50   17.82  0.31400  0.04154
    40.00    0.00   -2.00  1.08538  0.04726
    40.00    0.00    0.00  1.08538  0.05416
    40.00    0.00    2.00  1.08538  0.06142
    40.00    0.00    4.00  1.08538  0.06905
    40.00    0.00    6.00  1.08538  0.07704
    40.00    0.00    8.00  1.08538  0.08540
    40.00    0.00   10.00  1.08538  0.09412
    40.00    0.00   12.00  1.08538  0.10320
    40.00    0.00   14.00  1.08538  0.11265
    40.00    0.00   16.00  1.08538  0.12246
    40.00    0.00   18.00  1.08538  0.13264
    40.00    0.00   19.88  1.07429  0.14111
    40.00    0.10   -2.00  1.08508  0.04854
    40.00    0.10    0.00  1.08508  0.05680
    40.00    0.10    2.00  1.08508  0.06550
    40.00    0.10    4.00  1.08508  0.07464
    40.00    0.10    6.00  1.08508  0.08422
    40.00    0.10    8.00  1.08508  0.09423
    40.00    0.10   10.00  1.08508  0.10469
    40.00    0.10   12.00  1.08508  0.11558
    40.00    0.10   14.00  1.08508  0.12690
    40.00    0.10   16.00  1.08508  0.13867
    40.00    0.10   18.00  1.08508  0.15088
    40.00    0.10   19.80  1.06752  0.15959
    40.00    0.20   -2.00  1.08417  0.04834
    40.00    0.20    0.00  1.08417  0.05653
    40.00    0.20    2.00  1.08417  0.06516
    40.00    0.20    4.00  1.08417  0.07422
    40.00    0.20    6.00  1.08417  0.08373
    40.00    0.20    8.00  1.08417  0.09368
    40.00    0.20   10.00  1.08417  0.10406
    40.00    0.20   12.00  1.08417  0.11488
    40.00    0.20   14.00  1.08417  0.12614
    40.00    0.20   16.00  1.08417  0.13785
    40.00    0.20   18.00  1.08417  0.14999
    40.00    0.20   19.59  1.04680  0.15432
    40.00    0.30   -2.00  1.08260  0.04815
    40.00    0.30    0.00  1.08260  0.05637
    40.00    0.30    2.00  1.08260  0.06504
    40.00    0.30    4.00  1.08260  0.07416
    40.00    0.30    6.00  1.08260  0.08373
    40.00    0.30    8.00  1.08260  0.09375
    40.00    0.30   10.00  1.08260  0.10422
    40.00    0.30   12.00  1.08260  0.11513
    40.00    0.30   14.00  1.08260  0.12650
    40.00    0.30   16.00  1.08260  0.13831
    40.00    0.30   18.00  1.08260  0.15058
    40.00    0.30   19.22  1.01077  0.14752
    40.00    0.40   -2.00  1.08026  0.04794
    40.00    0.40    0.00  1.08026  0.05626
    40.00    0.40    2.00  1.08026  0.06505
    40.00    0.40    4.00  1.08026  0.07431
    40.00    0.40    6.00  1.08026  0.08404
    40.00    0.40    8.00  1.08026  0.09424
    40.00    0.40   10.00  1.08026  0.10490
    40.00    0.40   12.00  1.08026  0.11603
    40.00    0.40   14.00  1.08026  0.12763
    40.00    0.40   16.00  1.08026  0.13970
    40.00    0.40   18.00  1.08026  0.15224
    40.00    0.40   18.69  0.97289  0.14059
    40.00    0.50   -2.00  1.07697  0.04767
    40.00    0.50    0.00  1.07697  0.05616
    40.00    0.50    2.00  1.07697  0.06516
    40.00    0.50    4.00  1.07697  0.07465
    40.00    0.50    6.00  1.07697  0.08464
    40.00    0.50    8.00  1.07697  0.09512
    40.00    0.50   10.00  1.07697  0.10611
    40.00    0.50   12.00  1.07697  0.11758
    40.00    0.50   14.00  1.07697  0.12956
    40.00    0.50   16.00  1.07697  0.14204
    40.00    0.50   17.96  1.07572  0.15474
    40.00    0.50   17.99  0.96993  0.13903
