#
#  Clean / Free Air Aerodynamics
#  Reference Area = 1370. sqft
#  Altitude  Mach   ALPHA   CLTOT     CD
#    (ft)     (-)   (deg)    (-)     (-)
#
     0.0    0.00    -2.0 -0.0715  0.00363
     0.0    0.00     0.0  0.1072  0.00384
     0.0    0.00     2.0  0.2860  0.00621
     0.0    0.00     4.0  0.4647  0.01072
     0.0    0.00     6.0  0.6434  0.01737
     0.0    0.00     8.0  0.8222  0.02618
     0.0    0.00    10.0  1.0009  0.03713
     0.0    0.00    12.0  1.1797  0.05023
     0.0    0.00    14.0  1.3584  0.06548
     0.0    0.00    16.0  1.5371  0.08287
     0.0    0.00    18.0  1.7159  0.10241
     0.0    0.00    20.0  1.8946  0.12410
     0.0    0.20    -2.0 -0.0724  0.01841
     0.0    0.20     0.0  0.1086  0.01867
     0.0    0.20     2.0  0.2896  0.02152
     0.0    0.20     4.0  0.4706  0.02695
     0.0    0.20     6.0  0.6517  0.03498
     0.0    0.20     8.0  0.8327  0.04559
     0.0    0.20    10.0  1.0137  0.05878
     0.0    0.20    12.0  1.1947  0.07457
     0.0    0.20    14.0  1.3757  0.09294
     0.0    0.20    16.0  1.5568  0.11390
     0.0    0.20    18.0  1.7378  0.13745
     0.0    0.20    20.0  1.9188  0.16359
     0.0    0.40    -2.0 -0.0754  0.01689
     0.0    0.40     0.0  0.1131  0.01716
     0.0    0.40     2.0  0.3016  0.02020
     0.0    0.40     4.0  0.4901  0.02600
     0.0    0.40     6.0  0.6786  0.03455
     0.0    0.40     8.0  0.8670  0.04587
     0.0    0.40    10.0  1.0555  0.05995
     0.0    0.40    12.0  1.2440  0.07678
     0.0    0.40    14.0  1.4325  0.09638
     0.0    0.40    16.0  1.6210  0.11874
     0.0    0.40    18.0  1.8095  0.14385
     0.0    0.40    19.8  1.9820  0.16926
     0.0    0.50    -2.0 -0.0779  0.01639
     0.0    0.50     0.0  0.1169  0.01668
     0.0    0.50     2.0  0.3117  0.01991
     0.0    0.50     4.0  0.5065  0.02607
     0.0    0.50     6.0  0.7013  0.03515
     0.0    0.50     8.0  0.8961  0.04717
     0.0    0.50    10.0  1.0909  0.06212
     0.0    0.50    12.0  1.2857  0.08000
     0.0    0.50    14.0  1.4806  0.10081
     0.0    0.50    16.0  1.6754  0.12456
     0.0    0.50    18.0  1.8702  0.15123
     0.0    0.50    19.1  1.9760  0.16695
     0.0    0.60    -2.0 -0.0814  0.01598
