#
#  Clean / Free Air Aerodynamics
#  Copy of GASP_aero_free.txt with alpha above 10 removed
#  Reference Area = 1370. sqft
#  Altitude  Mach   ALPHA   CLTOT     CD
#    (ft)     (-)   (deg)    (-)     (-)
#
     0.0    0.00    -2.0 -0.0715  0.00363
     0.0    0.00     0.0  0.1072  0.00384
     0.0    0.00     2.0  0.2860  0.00621
     0.0    0.00     4.0  0.4647  0.01072
     0.0    0.00     6.0  0.6434  0.01737
     0.0    0.00     8.0  0.8222  0.02618
     0.0    0.00    10.0  1.0009  0.03713
     0.0    0.20    -2.0 -0.0724  0.01841
     0.0    0.20     0.0  0.1086  0.01867
     0.0    0.20     2.0  0.2896  0.02152
     0.0    0.20     4.0  0.4706  0.02695
     0.0    0.20     6.0  0.6517  0.03498
     0.0    0.20     8.0  0.8327  0.04559
     0.0    0.20    10.0  1.0137  0.05878
     0.0    0.40    -2.0 -0.0754  0.01689
     0.0    0.40     0.0  0.1131  0.01716
     0.0    0.40     2.0  0.3016  0.02020
     0.0    0.40     4.0  0.4901  0.02600
     0.0    0.40     6.0  0.6786  0.03455
     0.0    0.40     8.0  0.8670  0.04587
     0.0    0.40    10.0  1.0555  0.05995
     0.0    0.50    -2.0 -0.0779  0.01639
     0.0    0.50     0.0  0.1169  0.01668
     0.0    0.50     2.0  0.3117  0.01991
     0.0    0.50     4.0  0.5065  0.02607
     0.0    0.50     6.0  0.7013  0.03515
     0.0    0.50     8.0  0.8961  0.04717
     0.0    0.50    10.0  1.0909  0.06212
     0.0    0.60    -2.0 -0.0814  0.01598
     0.0    0.60     0.0  0.1221  0.01629
     0.0    0.60     2.0  0.3257  0.01980
     0.0    0.60     4.0  0.5293  0.02648
     0.0    0.60     6.0  0.7329  0.03636
     0.0    0.60     8.0  0.9365  0.04941
     0.0    0.60    10.0  1.1401  0.06566
     0.0    0.70    -2.0 -0.0863  0.01561
     0.0    0.70     0.0  0.1295  0.01597
     0.0    0.70     2.0  0.3454  0.01989
     0.0    0.70     4.0  0.5613  0.02737
     0.0    0.70     6.0  0.7771  0.03842
     0.0    0.70     8.0  0.9930  0.05303
     0.0    0.70    10.0  1.2089  0.07136
     0.0    0.75    -2.0 -0.0896  0.01545
     0.0    0.75     0.0  0.1343  0.01583
     0.0    0.75     2.0  0.3582  0.02004
     0.0    0.75     4.0  0.5822  0.02807
     0.0    0.75     6.0  0.8061  0.04007
     0.0    0.75     8.0  1.0300  0.05703
