#
# Incremental Lift and Drag Coeff. for Ground Effects
# Reference Area = 1370. sqft / Flap Deflection = 10 deg (T.O. Setting)
#     MACH   ALPHA     HOB   DEL_CL   DEL_CD
#      (-)   (deg)     (-)     (-)      (-)
#
     0.00   -2.00    0.05 -0.02737 -0.00156
     0.00   -2.00    0.10 -0.01769 -0.00120
     0.00   -2.00    0.20 -0.01032 -0.00075
     0.00   -2.00    0.30 -0.00655 -0.00049
     0.00   -2.00    0.40 -0.00431 -0.00033
     0.00   -2.00    0.50 -0.00291 -0.00022
     0.00   -2.00    0.60 -0.00199 -0.00016
     0.00   -2.00    0.80 -0.00097 -0.00008
     0.00   -2.00    1.00 -0.00049 -0.00004
     0.00   -2.00    1.50 -0.00009 -0.00001
     0.00   -2.00    2.00 -0.00001 -0.00000
     0.00   -2.00    3.00  0.00000 -0.00000
     0.00    0.00    0.05  0.03824 -0.00376
     0.00    0.00    0.10  0.02525 -0.00269
     0.00    0.00    0.20  0.01495 -0.00154
     0.00    0.00    0.30  0.00954 -0.00095
     0.00    0.00    0.40  0.00628 -0.00062
     0.00    0.00    0.50  0.00423 -0.00041
     0.00    0.00    0.60  0.00289 -0.00028
     0.00    0.00    0.80  0.00140 -0.00014
     0.00    0.00    1.00  0.00069 -0.00007
     0.00    0.00    1.50  0.00012 -0.00002
     0.00    0.00    2.00  0.00001 -0.00000
     0.00    0.00    3.00  0.00000 -0.00000
     0.00    2.00    0.05  0.09445 -0.00691
     0.00    2.00    0.10  0.06394 -0.00476
     0.00    2.00    0.20  0.03847 -0.00256
     0.00    2.00    0.30  0.02465 -0.00153
     0.00    2.00    0.40  0.01626 -0.00097
     0.00    2.00    0.50  0.01094 -0.00064
     0.00    2.00    0.60  0.00747 -0.00044
     0.00    2.00    0.80  0.00358 -0.00021
     0.00    2.00    1.00  0.00175 -0.00011
     0.00    2.00    1.50  0.00028 -0.00003
     0.00    2.00    2.00  0.00001 -0.00001
     0.00    2.00    3.00  0.00000 -0.00000
     0.00    4.00    0.05  0.14127 -0.01115
     0.00    4.00    0.10  0.09837 -0.00748
     0.00    4.00    0.20  0.06024 -0.00385
     0.00    4.00    0.30  0.03878 -0.00224
     0.00    4.00    0.40  0.02561 -0.00140
     0.00    4.00    0.50  0.01722 -0.00092
     0.00    4.00    0.60  0.01173 -0.00062
     0.00    4.00    0.80  0.00558 -0.00031
     0.00    4.00    1.00  0.00269 -0.00017
     0.00    4.00    1.50  0.00038 -0.00004
     0.00    4.00    2.00  0.00000 -0.00002
     0.00    4.00    3.00  0.00000 -0.00000
     0.00    6.00    0.05  0.17869 -0.01661
     0.00    6.00    0.10  0.12854 -0.01094
     0.00    6.00    0.20  0.08024 -0.00548
     0.00    6.00    0.30  0.05193 -0.00312
     0.00    6.00    0.40  0.03434 -0.00193
     0.00    6.00    0.50  0.02307 -0.00126
     0.00    6.00    0.60  0.01568 -0.00085
     0.00    6.00    0.80  0.00739 -0.00043
     0.00    6.00    1.00  0.00351 -0.00024
     0.00    6.00    1.50  0.00043 -0.00007
     0.00    6.00    2.00  0.00000 -0.00002
     0.00    6.00    3.00  0.00000 -0.00000
     0.00    8.00    0.05  0.20671 -0.02343
     0.00    8.00    0.10  0.15446 -0.01524
     0.00    8.00    0.20  0.09849 -0.00747
     0.00    8.00    0.30  0.06411 -0.00420
     0.00    8.00    0.40  0.04245 -0.00258
     0.00    8.00    0.50  0.02849 -0.00168
