# GASP-derived aerodynamics data converted from GASP_aero_flaps.txt
# Incremental Lift and Drag Coeff. for Flaps
# Reference Area = 1370. sqft

Flap Deflection (deg),       Mach, Angle of Attack (deg),   Delta CL,   Delta CD
                 10.0,        0.0,                  -2.0,    0.44098,    0.01046
                 10.0,        0.0,                   0.0,    0.44098,    0.01436
                 10.0,        0.0,                   2.0,    0.44098,    0.01829
                 10.0,        0.0,                   4.0,    0.44098,    0.02224
                 10.0,        0.0,                   6.0,    0.44098,    0.02622
                 10.0,        0.0,                   8.0,    0.44098,    0.03021
                 10.0,        0.0,                  10.0,    0.44098,    0.03423
                 10.0,        0.0,                  12.0,    0.44098,    0.03826
                 10.0,        0.0,                  14.0,    0.44098,    0.04232
                 10.0,        0.0,                  16.0,    0.44098,     0.0464
                 10.0,        0.0,                  18.0,    0.44098,    0.05051
                 10.0,        0.0,                 19.69,    0.41324,    0.05048
                 10.0,        0.1,                  -2.0,    0.44086,    0.01083
                 10.0,        0.1,                   0.0,    0.44086,    0.01551
                 10.0,        0.1,                   2.0,    0.44086,    0.02022
                 10.0,        0.1,                   4.0,    0.44086,    0.02495
                 10.0,        0.1,                   6.0,    0.44086,    0.02971
                 10.0,        0.1,                   8.0,    0.44086,    0.03449
                 10.0,        0.1,                  10.0,    0.44086,    0.03931
                 10.0,        0.1,                  12.0,    0.44086,    0.04414
                 10.0,        0.1,                  14.0,    0.44086,    0.04901
                 10.0,        0.1,                  16.0,    0.44086,     0.0539
                 10.0,        0.1,                  18.0,    0.44086,    0.05881
                 10.0,        0.1,                 19.62,    0.40665,    0.05764
                 10.0,        0.2,                  -2.0,    0.44049,    0.01076
                 10.0,        0.2,                   0.0,    0.44049,    0.01541
                 10.0,        0.2,                   2.0,    0.44049,    0.02008
                 10.0,        0.2,                   4.0,    0.44049,    0.02477
                 10.0,        0.2,                   6.0,    0.44049,    0.02949
                 10.0,        0.2,                   8.0,    0.44049,    0.03424
                 10.0,        0.2,                  10.0,    0.44049,    0.03901
                 10.0,        0.2,                  12.0,    0.44049,    0.04381
                 10.0,        0.2,                  14.0,    0.44049,    0.04864
                 10.0,        0.2,                  16.0,    0.44049,    0.05349
                 10.0,        0.2,                  18.0,    0.44049,    0.05836
                 10.0,        0.2,                  19.4,    0.38648,    0.05373
                 10.0,        0.3,                  -2.0,    0.43986,     0.0107
                 10.0,        0.3,                   0.0,    0.43986,    0.01537
                 10.0,        0.3,                   2.0,    0.43986,    0.02006
                 10.0,        0.3,                   4.0,    0.43986,    0.02478
                 10.0,        0.3,                   6.0,    0.43986,    0.02952
                 10.0,        0.3,                   8.0,    0.43986,    0.03429
                 10.0,        0.3,                  10.0,    0.43986,    0.03909
                 10.0,        0.3,                  12.0,    0.43986,    0.04392
                 10.0,        0.3,                  14.0,    0.43986,    0.04877
                 10.0,        0.3,                  16.0,    0.43986,    0.05365
                 10.0,        0.3,                  18.0,    0.43986,    0.05856
                 10.0,        0.3,                 19.04,     0.3514,    0.04793
                 10.0,        0.4,                  -2.0,     0.4389,    0.01062
                 10.0,        0.4,                   0.0,     0.4389,    0.01535
                 10.0,        0.4,                   2.0,     0.4389,    0.02011
                 10.0,        0.4,                   4.0,     0.4389,     0.0249
                 10.0,        0.4,                   6.0,     0.4389,    0.02972
                 10.0,        0.4,                   8.0,     0.4389,    0.03456
                 10.0,        0.4,                  10.0,     0.4389,    0.03943
                 10.0,        0.4,                  12.0,     0.4389,    0.04433
                 10.0,        0.4,                  14.0,     0.4389,    0.04926
                 10.0,        0.4,                  16.0,     0.4389,    0.05421
                 10.0,        0.4,                  18.0,     0.4389,    0.05919
                 10.0,        0.4,                 18.52,    0.31496,    0.04199
                 10.0,        0.5,                  -2.0,    0.43757,    0.01052
                 10.0,        0.5,                   0.0,    0.43757,    0.01536
                 10.0,        0.5,                   2.0,    0.43757,    0.02023
