# GASP-derived aerodynamics data converted from GASP_aero_ground.txt
# Incremental Lift and Drag Coeff. for Ground Effects
# Reference Area = 1370. sqft / Flap Deflection = 10 deg (T.O. Setting)

Mach, Angle of Attack (deg),        Hob,   Delta CL,   Delta CD
 0.0,                  -2.0,       0.05,   -0.02737,   -0.00156
 0.0,                  -2.0,        0.1,   -0.01769,    -0.0012
 0.0,                  -2.0,        0.2,   -0.01032,   -0.00075
 0.0,                  -2.0,        0.3,   -0.00655,   -0.00049
 0.0,                  -2.0,        0.4,   -0.00431,   -0.00033
 0.0,                  -2.0,        0.5,   -0.00291,   -0.00022
 0.0,                  -2.0,        0.6,   -0.00199,   -0.00016
 0.0,                  -2.0,        0.8,   -0.00097,     -8e-05
 0.0,                  -2.0,        1.0,   -0.00049,     -4e-05
 0.0,                  -2.0,        1.5,     -9e-05,     -1e-05
 0.0,                  -2.0,        2.0,     -1e-05,       -0.0
 0.0,                  -2.0,        3.0,        0.0,       -0.0
 0.0,                   0.0,       0.05,    0.03824,   -0.00376
 0.0,                   0.0,        0.1,    0.02525,   -0.00269
 0.0,                   0.0,        0.2,    0.01495,   -0.00154
 0.0,                   0.0,        0.3,    0.00954,   -0.00095
 0.0,                   0.0,        0.4,    0.00628,   -0.00062
 0.0,                   0.0,        0.5,    0.00423,   -0.00041
 0.0,                   0.0,        0.6,    0.00289,   -0.00028
 0.0,                   0.0,        0.8,     0.0014,   -0.00014
 0.0,                   0.0,        1.0,    0.00069,     -7e-05
 0.0,                   0.0,        1.5,    0.00012,     -2e-05
 0.0,                   0.0,        2.0,      1e-05,       -0.0
 0.0,                   0.0,        3.0,        0.0,       -0.0
 0.0,                   2.0,       0.05,    0.09445,   -0.00691
 0.0,                   2.0,        0.1,    0.06394,   -0.00476
 0.0,                   2.0,        0.2,    0.03847,   -0.00256
 0.0,                   2.0,        0.3,    0.02465,   -0.00153
 0.0,                   2.0,        0.4,    0.01626,   -0.00097
 0.0,                   2.0,        0.5,    0.01094,   -0.00064
 0.0,                   2.0,        0.6,    0.00747,   -0.00044
 0.0,                   2.0,        0.8,    0.00358,   -0.00021
 0.0,                   2.0,        1.0,    0.00175,   -0.00011
 0.0,                   2.0,        1.5,    0.00028,     -3e-05
 0.0,                   2.0,        2.0,      1e-05,     -1e-05
 0.0,                   2.0,        3.0,        0.0,       -0.0
 0.0,                   4.0,       0.05,    0.14127,   -0.01115
 0.0,                   4.0,        0.1,    0.09837,   -0.00748
 0.0,                   4.0,        0.2,    0.06024,   -0.00385
 0.0,                   4.0,        0.3,    0.03878,   -0.00224
 0.0,                   4.0,        0.4,    0.02561,    -0.0014
 0.0,                   4.0,        0.5,    0.01722,   -0.00092
 0.0,                   4.0,        0.6,    0.01173,   -0.00062
 0.0,                   4.0,        0.8,    0.00558,   -0.00031
 0.0,                   4.0,        1.0,    0.00269,   -0.00017
 0.0,                   4.0,        1.5,    0.00038,     -4e-05
