X(mm),Y(mm)
100,0
99.8459,0.0187
99.3844,0.0743
98.6185,0.1658
97.5528,0.2918
96.194,0.4499
94.5503,0.6376
92.632,0.8518
90.4508,1.0892
88.0203,1.3465
85.3553,1.6199
82.4724,1.9057
79.3893,2.2004
76.1249,2.5
72.6995,2.8009
69.1342,3.099
65.4508,3.3905
61.6723,3.6712
57.8217,3.9368
53.923,4.183
50,4.4051
46.077,4.5986
42.1783,4.759
38.3277,4.8819
34.5492,4.9631
30.8658,4.999
27.3005,4.9868
23.8751,4.924
20.6107,4.8093
17.5276,4.6423
14.6447,4.4236
11.9797,4.1545
9.5492,3.8374
7.368,3.4754
5.4497,3.0722
3.806,2.6316
2.4472,2.1578
1.3815,1.6545
0.6156,1.1253
0.1541,0.5731
0,0
0.1541,-0.5731
0.6156,-1.1253
1.3815,-1.6545
2.4472,-2.1578
3.806,-2.6316
5.4497,-3.0722
7.368,-3.4754
9.5492,-3.8374
11.9797,-4.1545
14.6447,-4.4236
17.5276,-4.6423
20.6107,-4.8093
23.8751,-4.924
27.3005,-4.9868
30.8658,-4.999
34.5492,-4.9631
38.3277,-4.8819
42.1783,-4.759
46.077,-4.5986
50,-4.4051
53.923,-4.183
57.8217,-3.9368
61.6723,-3.6712
65.4508,-3.3905
69.1342,-3.099
72.6995,-2.8009
76.1249,-2.5
79.3893,-2.2004
82.4724,-1.9057
85.3553,-1.6199
88.0203,-1.3465
90.4508,-1.0892
92.632,-0.8518
94.5503,-0.6376
96.194,-0.4499
97.5528,-0.2918
98.6185,-0.1658
99.3844,-0.0743
99.8459,-0.0187
100,0
