#old_variable_name,new_variable_name,PR_number,aviary_version
aircraft:design:thrust_takeoff_per_eng,removed,#1142,1.0.0
aircraft:engine:constant_fuel_consumption,aircraft:engine:CONSTANT_FUEL_MASS_CONSUMPTION,#1171,1.0.0
aircraft:engine:position_factor,aircraft:Propulsion.ENGINE_POSITION_FACTOR,#1228,1.0.0
aircraft:fuel:auxiliary_fuel_capacity,aircraft:fuel:AUXILIARY_FUEL_MASS_CAPACITY,#1171,1.0.0
aircraft:fuel:burn_per_passenger_mile,removed,#1223,1.0.0
aircraft:fuel:TOTAL_CAPACITY,aircraft:fuel:MAX_CAPACITY_MASS,#1223,1.0.0
aircraft:fuel:TOTAL_VOLUME,aircraft:fuel:MAX_CAPACITY_VOLUME,#1223,1.0.0
aircraft:fuel:WING_FUEL_CAPACITY,aircraft:fuel:WING_FUEL_MASS_CAPACITY,#1171,1.0.0
aircraft:fuel:wing_ref_capacity,removed,#1223,1.0.0
aircraft:fuel:wing_ref_capacity_area,removed,#1223,1.0.0
aircraft:fuel:wing_ref_capacity_term_a,removed,#1223,1.0.0
aircraft:fuel:wing_ref_capacity_term_b,removed,#1223,1.0.0
aircraft:fuselage:seat_width,ircraft.fuselage:SEAT_WIDTH_ECONOMY,#1263,1.0.0
dynamic:vehicle:Propulsion.fuel_flow_rate,dynamic:vehicle:Propulsion.FUEL_MASS_FLOW_RATE,#1171,1.0.0
dynamic:vehicle:Propulsion.fuel_flow_rate_negative,dynamic:vehicle:Propulsion.FUEL_MASS_FLOW_RATE_NEGATIVE,#1171,1.0.0
dynamic:vehicle:Propulsion.fuel_flow_rate_negative_total,dynamic:vehicle:Propulsion.FUEL_MASS_FLOW_RATE_NEGATIVE_TOTAL,#1171,1.0.0
dynamic:vehicle:Propulsion.fuel_flow_rate_total,dynamic:vehicle:Propulsion.FUEL_MASS_FLOW_RATE_TOTAL,#1223,1.0.0
mission:block_fuel,mission:BLOCK_FUEL_MASS,#1171,1.0.0
mission:constraints:EXCESS_FUEL_CAPACITY,mission:constraints:EXCESS_FUEL_MASS_CAPACITY,#1171,1.0.0
mission:constraints:MAX_MACH,aircraft:design:MAX_MACH,#1250,1.0.0
mission:design:THRUST_TAKEOFF_PER_ENG,aircraft:design:THRUST_TAKEOFF_PER_ENG,#1035,#1050,1.0.0
mission:fuel:mission:FUEL_MASS,#1171,1.0.0
mission:RESERVE_FUEL,removed,#1223,1.0.0
mission:RESERVE_FUEL_ADDITIONAL,mission:RESERVE_FUEL_MASS_ADDITIONAL,#1171,1.0.0
mission:takeoff:FUEL,mission:takeoff:FUEL_MASS,#1171,1.0.0
mission:taxi:FUEL_TAXI_IN,mission:taxi:FUEL_MASS_TAXI_IN,#1171,1.0.0
mission:taxi:FUEL_TAXI_OUT,mission:taxi:FUEL_MASS_TAXI_OUT,#1171,1.0.0
mission:TOTAL_FUEL,mission:TOTAL_FUEL_MASS,#1171,1.0.0
mission:TOTAL_RESERVE_FUEL,mission:TOTAL_RESERVE_FUEL_MASS,#1171,1.0.0
mission:USEFUL_LOAD,mission:OPERATING_ITEMS_MASS,#1122,1.0.0
